Unnamed: 0,Duelos_Aéreos_Ganhos,Duelos_Ofensivos_Ganhos,xG,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Aéreos_Ganhos_LM,Duelos_Ofensivos_Ganhos_LM,xG_LM,Conversão_Gols_LM,Conversão_xG_LM,Ameaça_Ofensiva_LM,xA_LM,Deep_Completions_LM,Passes_Chave_LM,Passes_ÁreaPênalti_Certos_LM,Duelos_Aéreos_Ganhos_Rank,Duelos_Ofensivos_Ganhos_Rank,xG_Rank,Conversão_Gols_Rank,Conversão_xG_Rank,Ameaça_Ofensiva_Rank,xA_Rank,Deep_Completions_Rank,Passes_Chave_Rank,Passes_ÁreaPênalti_Certos_Rank,Duelos_Aéreos_Ganhos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,xG_Percentil,Conversão_Gols_Percentil,Conversão_xG_Percentil,Ameaça_Ofensiva_Percentil,xA_Percentil,Deep_Completions_Percentil,Passes_Chave_Percentil,Passes_ÁreaPênalti_Certos_Percentil
0,0.793767,0.268417,0.27451,0.692317,0.747807,0.339906,0.181818,0.03,0.142857,0.135717,1.0,L. Di Yorio,Athletico Paranaense,Athletico Paranaense,CF,CF,12,27,2000000,2027-12-31,18,858,Argentina,"Argentina, Italy",right,186,83,no,BRA1,Testing,2024,Atacante Referência,1.0,1,58,98,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,3,29,42.0,6.5,5.0,34.0,39.0,56.0,48.0,46,94,50,27,88,91,41,32,3,17,20
1,0.714358,0.185969,0.607843,0.900009,0.407407,1.0,0.0,0.035,0.157143,0.139595,0.990069,Deyverson,Atlético Mineiro,Atlético Mineiro,CF,CF,12,33,800000,2025-12-31,13,836,Brazil,Brazil,left,189,82,no,BRA1,Testing,2024,Atacante Referência,0.99,2,58,96,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,5,44,17.5,2.0,29.5,1.0,57.0,55.0,47.0,43,91,24,69,96,49,98,1,5,18,25
2,0.71764,0.173183,0.607843,0.551016,0.521991,0.418963,0.363636,0.13,0.457143,0.21327,0.984375,J. López,Palmeiras,Palmeiras,CF,CF,12,23,8000000,2027-12-31,28,1998,Argentina,Argentina,left,190,74,no,BRA1,Testing,2024,Atacante Referência,0.984,3,58,94,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,4,46,17.5,16.0,12.0,21.0,20.0,42.0,22.5,32,93,20,69,72,79,63,65,27,61,44
3,1.0,0.194222,0.745098,0.337503,0.319767,0.421016,0.181818,0.075,0.228571,0.057087,0.963259,P. Vegetti,Vasco da Gama,Vasco da Gama,CF,CF,12,36,750000,2025-12-31,28,2733,Argentina,Argentina,right,187,86,no,BRA1,Testing,2024,Atacante Referência,0.963,4,58,93,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,1,43,9.0,33.0,40.0,20.0,39.0,48.0,41.0,55,98,25,84,43,31,65,32,17,29,5
4,0.864526,0.203942,1.0,0.500015,0.286458,0.768419,0.136364,0.19,0.0,0.077553,0.959585,Carlinhos,Flamengo,Flamengo,CF,CF,12,27,500000,2026-12-31,13,512,Brazil,Brazil,right,191,82,no,BRA1,Testing,2024,Atacante Referência,0.96,5,58,91,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,2,40,1.0,19.0,44.0,2.0,46.0,37.0,55.5,52,96,31,98,67,24,96,20,36,4,10
5,0.445123,0.333935,0.529412,0.576936,0.486979,0.487013,0.409091,0.36,0.671429,0.347436,0.941899,Tiquinho Soares,Botafogo,Botafogo,"CF, AMF",CF,12,33,2700000,2026-12-31,23,1340,Brazil,"Brazil, Portugal",right,187,89,no,BRA1,Testing,2024,Atacante Referência,0.942,6,58,89,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,20,25,25.0,14.0,19.0,15.0,15.0,13.5,12.0,16,65,56,56,75,67,74,74,76,79,72
6,0.329193,0.399928,0.843137,1.0,0.763889,0.548307,0.818182,0.38,0.814286,0.391695,0.904982,E. Vargas,Atlético Mineiro,Atlético Mineiro,"CF, AMF",CF,12,34,1000000,2024-12-31,18,792,Chile,Chile,right,174,77,no,BRA1,Testing,2024,Atacante Referência,0.905,7,58,87,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,29,13,4.0,1.0,4.0,8.0,2.5,11.0,4.0,11,50,77,93,98,93,86,95,81,93,81
7,0.634711,0.377234,0.294118,0.468755,0.504167,0.357708,0.272727,0.205,0.5,0.204829,0.894234,J. Calleri,São Paulo,São Paulo,CF,CF,12,31,3500000,2026-12-31,25,2085,Argentina,"Argentina, Italy",right,181,77,no,BRA1,Testing,2024,Atacante Referência,0.894,8,58,86,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,10,18,39.0,21.5,15.5,29.0,27.0,32.5,19.0,34,82,68,32,62,73,50,53,43,67,41
8,0.551296,0.585287,0.764706,0.454565,0.4375,0.401271,0.227273,0.35,0.357143,0.255213,0.879316,Igor Jesus,Botafogo,Botafogo,CF,CF,12,23,2500000,2027-12-31,15,1065,Brazil,Brazil,right,180,75,no,BRA1,Testing,2024,Atacante Referência,0.879,9,58,84,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,12,6,7.5,24.5,24.0,23.0,32.5,16.0,28.0,25,79,89,87,57,58,60,43,72,51,56
9,0.314631,0.494946,0.117647,0.692317,1.0,0.224213,0.045455,0.005,0.0,0.034464,0.866938,Cadu,Atlético Mineiro,Atlético Mineiro,"CF, LWB",CF,12,20,0,,20,1120,Brazil,Brazil,right,177,73,no,BRA1,Testing,2024,Atacante Referência,0.867,10,58,82,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,31,10,52.5,6.5,1.0,47.0,54.0,57.0,55.5,56,46,82,9,88,98,18,6,1,4,3
10,0.291332,0.33015,0.784314,0.789488,0.488889,0.7112,0.181818,0.355,0.685714,0.288198,0.859676,M. Braithwaite,Grêmio,Grêmio,CF,CF,12,33,3200000,2026-06-30,11,946,Denmark,"Denmark, Guyana",right,177,73,no,BRA1,Testing,2024,Atacante Referência,0.86,11,58,81,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,37,26,6.0,4.0,18.0,3.0,39.0,15.0,10.0,22,36,55,89,93,68,94,32,74,82,62
11,0.673248,0.255276,0.215686,0.333333,0.34375,0.378216,0.090909,0.16,0.171429,0.302456,0.845958,R. Carrillo,Juventude,Juventude,CF,CF,12,28,500000,2025-12-31,13,766,Ecuador,Ecuador,right,186,79,no,BRA1,Testing,2024,Atacante Referência,0.846,12,58,79,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,8,33,46.0,35.0,37.0,24.0,51.0,40.0,45.0,20,86,43,20,39,36,58,12,31,22,65
12,0.634772,0.155002,0.176471,0.428584,0.556548,0.275078,0.136364,0.05,0.114286,0.177141,0.837886,T. Borbas,Red Bull Bragantino,Red Bull Bragantino,CF,CF,12,22,7000000,2027-12-31,21,1090,Uruguay,Uruguay,right,181,69,no,BRA1,Testing,2024,Atacante Referência,0.838,13,58,77,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,9,49,47.5,26.0,9.0,41.0,46.0,50.0,51.5,40,84,15,18,55,84,29,20,13,11,31
13,0.483198,0.150053,0.980392,0.583326,0.366667,0.69697,0.181818,0.36,0.171429,0.404551,0.830834,R. Borré,Internacional,Internacional,CF,CF,12,29,8000000,2028-12-31,16,1442,Colombia,Colombia,right,174,70,no,BRA1,Testing,2024,Atacante Referência,0.831,14,58,75,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,14,50,2.0,13.0,35.0,4.0,39.0,13.5,45.0,10,75,13,96,77,39,93,32,76,22,82
14,0.164756,0.736095,0.823529,0.535715,0.546099,0.377185,0.454545,0.285,0.642857,0.359271,0.827655,Hulk,Atlético Mineiro,Atlético Mineiro,CF,CF,12,38,1800000,2026-12-31,18,1616,Brazil,Brazil,left,180,85,no,BRA1,Testing,2024,Atacante Referência,0.828,15,58,74,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,44,4,5.0,17.5,10.0,25.0,11.5,19.5,13.0,14,24,93,91,69,82,56,80,66,77,75
15,0.240444,0.22074,0.862745,0.785708,0.495748,0.68652,0.363636,0.505,0.685714,0.272029,0.824895,Pedro,Flamengo,Flamengo,CF,CF,12,27,23000000,2027-12-31,21,1860,Brazil,Brazil,right,186,78,no,BRA1,Testing,2024,Atacante Referência,0.825,16,58,72,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,39,37,3.0,5.0,17.0,5.0,20.0,3.0,10.0,24,32,36,94,91,70,91,65,94,82,58
