Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Lucas Freitas,Juventude,Juventude,"LCB, LB",LCB,4,23,450000,2025-12-31,7,616,Brazil,"Brazil, Portugal",left,184,76,yes,7.45,3.0675,1.460928,0.44,5.35,3.655537,15.19375,4.673576000000001,17.531532,0.8775,0.58,0.88,3.216464,BRA1,Testing,2024,0.4454181610635744,0.42027739147066,0.4346067135695449
1,Pedro Henrique,Atlético GO,Atlético GO,LCB,LCB,4,31,1000000,2024-12-31,10,633,Brazil,Brazil,left,190,88,no,7.25,3.413504000000001,2.846808999999999,0.43,4.79,2.130996,9.666464000000001,3.41547,20.4768,0.566695,0.0,0.57,2.273004,BRA1,Testing,2024,0.1784008239596737,0.1724140286143337,0.1761202188254795
2,Igor Rabello,Atlético Mineiro,Atlético Mineiro,"CB, RCB",CB,4,29,2000000,2025-12-31,10,644,Brazil,Brazil,right,190,90,no,9.22,4.472895,3.494214,0.7,6.84,2.654438,12.857253,4.473513000000001,26.271477,0.56,0.28,0.7,3.212055,BRA1,Testing,2024,0.7855801155636202,0.7463476787725132,0.7690764982830842
3,Caio Vinícius,Vitória,Vitória,"RCB, LCMF",RCB,4,25,1500000,2024-12-31,10,657,Brazil,Brazil,right,187,80,no,9.18,4.109452999999999,2.739571999999999,0.27,4.24,1.369176,10.823,4.523229,16.435956,1.23,0.55,1.1,3.422537,BRA1,Testing,2024,0.6728701142897462,0.5637076623534744,0.6208013914438958
4,Thiago Silva,Fluminense,Fluminense,"RCB, LCB",RCB,4,39,1000000,2026-06-30,7,696,Brazil,"Brazil, France",right,181,79,no,7.63,2.326128,1.29375,0.65,6.38,2.975019,16.555796,4.527355000000001,18.102364,0.515,0.13,0.0,1.9425,BRA1,Testing,2024,0.4186071998780296,0.3357347603086034,0.3787036669699842
5,L. Villalba,Cruzeiro,Cruzeiro,"LCB, LB",LCB,4,30,2000000,2025-12-31,15,699,Argentina,Argentina,left,177,73,yes,7.98,3.344851999999999,2.70375,0.52,6.38,4.248544000000001,16.090974,5.920362,20.730752,0.775,0.13,1.42,3.73285,BRA1,Testing,2024,0.734874983920297,0.7443281058849902,0.7426070189228213
6,W. Kannemann,Grêmio,Grêmio,LCB,LCB,4,33,800000,2025-12-31,10,818,Argentina,"Argentina, Italy",left,183,75,no,10.56,5.610220000000001,2.529989,0.55,5.48,2.750022,9.790011,3.410154,9.67978,0.769956,0.220011,0.0,2.310066,BRA1,Testing,2024,0.6474464856928586,0.5992471685269009,0.6258798838717954
7,Naves,Palmeiras,Palmeiras,"RCB, LCB",RCB,4,22,0,,10,820,Brazil,Brazil,right,182,78,no,9.88,4.716737999999999,3.29052,0.33,8.25,2.304035,14.156528,6.804406000000001,18.552664,0.11,0.0,0.88,4.61235,BRA1,Testing,2024,0.9210967441131785,0.8861534367462284,0.9072970970013293
8,Gustavo Henrique,Corinthians,Corinthians,"LCB, RCB, CB",LCB,4,31,1000000,2025-12-31,9,826,Brazil,Brazil,right,196,86,no,7.63,3.162936,2.177952,0.87,6.0,1.853,9.916080000000001,2.723071,19.39637,0.33,0.11,0.54,1.852392,BRA1,Testing,2024,0.2325259557475303,0.2339680291319007,0.2341948241213737
9,Neris,Vitória,Vitória,RCB,RCB,4,32,600000,2026-12-31,12,856,Brazil,Brazil,right,190,88,no,8.41,3.993402000000001,2.312994,0.74,5.47,2.312432,11.46031,5.572255999999999,17.139165,0.63,0.212,1.05,2.943006,BRA1,Testing,2024,0.6381876500849988,0.5788180710014558,0.6109755967769073
10,Rodrigo Sam,Juventude,Juventude,"LCB, RCB",LCB,4,29,50000,2025-12-31,12,870,Brazil,Brazil,right,187,86,no,9.83,4.548767999999999,3.41493,0.83,6.29,1.239876,10.037368,2.692548,18.930236,0.724234,0.0,0.41,1.347252,BRA1,Testing,2024,0.6166795291482061,0.5422805606940391,0.5818348428960931
11,Walisson Maia,Criciúma,Criciúma,"LCB, RCB",LCB,4,33,125000,2024-12-31,12,871,Brazil,Brazil,right,187,81,no,8.99,4.34259,2.998952000000001,0.62,5.04,4.133602,9.30198,5.061,13.844079,0.21,0.1,0.1,2.480093,BRA1,Testing,2024,0.6547398460122804,0.5694663029076599,0.614590440664975
12,João Victor,Vasco da Gama,Vasco da Gama,"LCB, RCB, RB",LCB,4,26,5000000,2028-12-31,12,943,Brazil,Brazil,right,187,80,no,8.4,3.722775,2.101407,0.38,5.9,2.38644,12.785276,4.292260000000001,18.320146,1.527656,0.57,1.81,3.62317,BRA1,Testing,2024,0.566060557001776,0.5551056813887884,0.5628611268772609
13,Vitor Reis,Palmeiras U20,Palmeiras,"RCB, LCB",RCB,4,18,0,,10,943,Brazil,Brazil,right,186,77,no,8.4,4.392762000000001,3.339716,0.48,6.18,1.623264,10.88241,5.247993,23.47761,0.384,0.0,0.38,3.43644,BRA1,Testing,2024,0.686367974109126,0.6194069170476357,0.6555405447630834
14,André Ramalho,Corinthians,Corinthians,"CB, RCB",CB,4,32,2500000,2026-12-31,9,945,Brazil,"Brazil, Italy",right,182,78,no,8.67,3.429324,1.90334,0.38,6.65,2.951306,12.472169,5.145238000000001,17.999534,0.6649619999999998,0.19,1.52,3.902802,BRA1,Testing,2024,0.6781172799136779,0.6564375313539402,0.6699889804279746
15,Luiz Felipe,Atlético GO,Atlético GO,"LCB, RCB",LCB,4,30,800000,2024-12-31,13,961,Brazil,Brazil,right,187,79,no,7.49,2.714112,2.431746,0.47,6.12,2.058534,7.117205999999999,3.184006,10.954257,0.2775,0.0,0.47,2.344679,BRA1,Testing,2024,0.09534527214965932,0.09832636396678826,0.09722932390931682
16,Bruno Alves,Cuiabá,Cuiabá,"CB, LCB, RCB",CB,4,33,600000,2025-12-31,15,971,Brazil,Brazil,right,185,81,no,6.95,3.0558,2.0405,0.19,4.73,2.597,11.6816,5.19424,16.772085,0.3733520000000001,0.2775,0.74,3.8892,BRA1,Testing,2024,0.3347492309918919,0.3313181940387117,0.334387041449924
17,W. Ángel,Criciúma,Criciúma,LCB,LCB,4,31,250000,2024-12-31,11,993,Venezuela,Venezuela,right,188,84,no,8.61,2.44737,2.628768,1.09,6.98,2.808036,8.97002,3.16992,12.057138,0.179991,0.09,0.36,1.813012,BRA1,Testing,2024,0.3867443396064192,0.3325071810372014,0.3610871497511362
